Genetic_ID,Master_ID,Data_source,Group_ID,political_entity,epoch
I14688,I14688,1240K,Albania_BA_IA,Albania,Late Iron Age (LIA)
I14690,I14690,1240K,Albania_BA_IA,Albania,Early Iron Age (EIA)
I14692,I14692,1240K,Albania_BA_IA,Albania,Early Iron Age (EIA)
I16251,I16251,1240K,Albania_BA_IA,Albania,Late Iron Age (LIA)
I16254,I16254,1240K,Albania_BA_IA,Albania,Late Iron Age (LIA)
I16256,I16256,1240K,Albania_BA_IA,Albania,Late Iron Age (LIA)
I17633_v54.1_addback,I17633,1240K,Albania_BA_IA,Albania,Late Iron Age (LIA)
I16253,I16253,1240K,Albania_IA,Albania,Late Iron Age (LIA)
I13838,I13838,1240K,Albania_LN_C,Albania,Early Neolithic (EN)
I13840,I13840,1240K,Albania_LN_C,Albania,Early Neolithic (EN)
I8471,I8471,1240K,Albania_MBA,Albania,Chalcolithic (Copper Age) (C)
I13839,I13839,1240K,Albania_Medieval,Albania,Early Middle Ages (EMA)
I14622,I14622,1240K,Albania_Medieval,Albania,Early Middle Ages (EMA)
I14685,I14685,1240K,Albania_Modern,Albania,Early Modern Period (EMP)
I15706,I15706,1240K,Albania_Modern,Albania,Early Modern Period (EMP)
I16119,I16119,1240K,Armenia_Achaemenid_Hellenistic,Armenia,Late Iron Age (LIA)
I3931,I3931,1240K,Armenia_Aknashen_N,Armenia,Mesolithic
I10252,I10252,1240K,Armenia_Antiquity,Armenia,Classical Antiquity (CA)
I10252_v54.1_addback,I10252,1240K,Armenia_Antiquity,Armenia,Classical Antiquity (CA)
R11655.SG,R11655,Shotgun,Armenia_Beniamin_Achaemenid_Artaxiad_Hellenistic_Roman.SG,Armenia,Classical Antiquity (CA)
R11651.SG,R11651,Shotgun,Armenia_Beniamin_Achaemenid_Artaxiad_Hellenistic_Roman.SG,Armenia,Classical Antiquity (CA)
R11653.SG,R11653,Shotgun,Armenia_Beniamin_Achaemenid_Artaxiad_Hellenistic_Roman.SG,Armenia,Classical Antiquity (CA)
R11678.SG,R11678,Shotgun,Armenia_Beniamin_Achaemenid_Artaxiad_Hellenistic_Roman.SG,Armenia,Classical Antiquity (CA)
R11713.SG,R11713,Shotgun,Armenia_Beniamin_Achaemenid_Artaxiad_Hellenistic_Roman.SG,Armenia,Classical Antiquity (CA)
R11714.SG,R11714,Shotgun,Armenia_Beniamin_Achaemenid_Artaxiad_Hellenistic_Roman.SG,Armenia,Classical Antiquity (CA)
R11540.SG,R11540,Shotgun,Armenia_Beniamin_Achaemenid.SG,Armenia,Late Iron Age (LIA)
R11541.SG,R11541,Shotgun,Armenia_Beniamin_Artaxiad_Roman.SG,Armenia,Classical Antiquity (CA)
R11668.SG,R11668,Shotgun,Armenia_Beniamin_EIA.SG,Armenia,Early Iron Age (EIA)
R11546.SG,R11546,Shotgun,Armenia_Beniamin_Hellenistic.SG,Armenia,Classical Antiquity (CA)
R11536.SG,R11536,Shotgun,Armenia_Beniamin_IA.SG,Armenia,Early Iron Age (EIA)
R11545.SG,R11545,Shotgun,Armenia_Beniamin_LBA.SG,Armenia,Chalcolithic (Copper Age) (C)
R11675.SG,R11675,Shotgun,Armenia_Beniamin_LBS.SG,Armenia,Chalcolithic (Copper Age) (C)
R11538.SG,R11538,Shotgun,Armenia_Beniamin_Sasanian.SG,Armenia,Early Middle Ages (EMA)
R11542.SG,R11542,Shotgun,Armenia_Beniamin_Sasanian.SG,Armenia,Early Middle Ages (EMA)
R11543.SG,R11543,Shotgun,Armenia_Beniamin_Sasanian.SG,Armenia,Early Middle Ages (EMA)
R11544.SG,R11544,Shotgun,Armenia_Beniamin_Sasanian.SG,Armenia,Early Middle Ages (EMA)
R11535.SG,R11535,Shotgun,Armenia_Beniamin_Urartu_IA.SG,Armenia,Middle Iron Age (MIA)
I1407,I1407,1240K,Armenia_C,Armenia,Middle Neolithic (MN)
I1409,I1409,1240K,Armenia_C,Armenia,Early Neolithic (EN)
I1631,I1631,1240K,Armenia_C,Armenia,Early Neolithic (EN)
I1632,I1632,1240K,Armenia_C,Armenia,Early Neolithic (EN)
I1634,I1634,1240K,Armenia_C,Armenia,Early Neolithic (EN)
I1630,I1630,1240K,Armenia_EarlyMedieval,Armenia,High Middle Ages (HMA)
I1659,I1659,1240K,Armenia_EarlyMedieval,Armenia,Late Middle Ages (LMA)
I1660,I1660,1240K,Armenia_EarlyMedieval,Armenia,High Middle Ages (HMA)
